年代,国,出来事,URL
1世紀,日本,金印の授与,https://www.weblio.jp/content/金印
2世紀,日本,倭国大乱,https://www.weblio.jp/content/倭国大乱
3世紀,日本,卑弥呼の支配,https://www.weblio.jp/content/卑弥呼
4世紀,日本,大和政権の確立,https://www.weblio.jp/content/大和政権
5世紀,日本,倭の五王と中国の交流,https://www.weblio.jp/content/倭の五王
6世紀,日本,仏教の伝来,https://www.weblio.jp/content/仏教の伝来
7世紀,日本,聖徳太子の政治改革,https://www.weblio.jp/content/聖徳太子
8世紀,日本,奈良時代,https://www.weblio.jp/content/奈良時代
9世紀,日本,平安時代,https://www.weblio.jp/content/平安時代
10世紀,日本,藤原氏の台頭,https://www.weblio.jp/content/藤原氏
11世紀,日本,院政時代,https://www.weblio.jp/content/院政
12世紀,日本,源平合戦,https://www.weblio.jp/content/源平合戦
13世紀,日本,鎌倉時代,https://www.weblio.jp/content/鎌倉時代
14世紀,日本,室町時代,https://www.weblio.jp/content/室町時代
15世紀,日本,応仁の乱,https://www.weblio.jp/content/応仁の乱
16世紀,日本,織田信長と豊臣秀吉の天下統一,https://www.weblio.jp/content/天下統一
17世紀,日本,江戸幕府時代,https://www.weblio.jp/content/江戸幕府
18世紀,日本,享保の改革,https://www.weblio.jp/content/享保の改革
1800年~,日本,黒船来航と開国,https://www.weblio.jp/content/黒船来航
1850年~,日本,明治維新(1868),https://www.weblio.jp/content/明治維新
1900年~,日本,大正デモクラシー,https://www.weblio.jp/content/大正デモクラシー
1925年~,日本,第二次世界大戦(1939),https://www.weblio.jp/content/第二次世界大戦
1950年~,日本,高度経済成長,https://www.weblio.jp/content/高度経済成長
1975年~,日本,バブル崩壊,https://www.weblio.jp/content/バブル崩壊
2000年~,日本,東日本大震災(2011),https://www.weblio.jp/content/東日本大震災
