年代,国,出来事,URL

1世紀,ヨーロッパ,カエサル時代(ローマ帝国),https://www.weblio.jp/content/カエサル
2世紀,ヨーロッパ,五賢帝時代(ローマ帝国),https://www.weblio.jp/content/五賢帝
3世紀,ヨーロッパ,軍人皇帝時代(ローマ帝国),https://www.weblio.jp/content/軍人皇帝
4世紀,ヨーロッパ,キリスト教の公認,https://www.weblio.jp/content/ミラノ勅令
5世紀,ヨーロッパ,西ローマ帝国の滅亡,https://www.weblio.jp/content/西ローマ帝国
6世紀,ヨーロッパ,ユスティニアヌス帝時代,https://www.weblio.jp/content/ユスティニアヌス帝
7世紀,ヨーロッパ,アングロ・サクソン七王国の誕生,https://www.weblio.jp/content/七王国
8世紀,ヨーロッパ,フランク王国時代,https://www.weblio.jp/content/フランク王国
9世紀,ヨーロッパ,ヴェルダン条約,https://www.weblio.jp/content/ヴェルダン条約
10世紀,ヨーロッパ,神聖ローマ帝国,https://www.weblio.jp/content/神聖ローマ帝国
11世紀,ヨーロッパ,ノルマン・コンクエスト,https://www.weblio.jp/content/ノルマン・コンクエスト
12世紀,ヨーロッパ,十字軍,https://www.weblio.jp/content/十字軍
13世紀,ヨーロッパ,マグナ・カルタ,https://www.weblio.jp/content/マグナ・カルタ
14世紀,ヨーロッパ,ペストの流行,https://www.weblio.jp/content/黒死病
15世紀,ヨーロッパ,ルネサンス時代,https://www.weblio.jp/content/ルネサンス
16世紀,ヨーロッパ,宗教改革,https://www.weblio.jp/content/宗教改革
17世紀,ヨーロッパ,名誉革命,https://www.weblio.jp/content/名誉革命
18世紀,ヨーロッパ,フランス革命,https://www.weblio.jp/content/フランス革命
1800年~,ヨーロッパ,ナポレオン戦争,https://www.weblio.jp/content/ナポレオン戦争
1850年~,ヨーロッパ,普仏戦争,https://www.weblio.jp/content/普仏戦争
1900年~,ヨーロッパ,第一次世界大戦,https://www.weblio.jp/content/第一次世界大戦
1925年~,ヨーロッパ,第二次世界大戦,https://www.weblio.jp/content/第二次世界大戦
1950年~,ヨーロッパ,EC発足,https://www.weblio.jp/content/EC
1975年~,ヨーロッパ,EU発足,https://www.weblio.jp/content/EU
2000年~,ヨーロッパ,ユーロ導入,https://www.weblio.jp/content/ユーロ

1世紀,中東・アフリカ,キリスト教の誕生(パレスチナ),https://www.weblio.jp/content/キリスト教
2世紀,中東・アフリカ,ユダヤ人のディアスポラ,https://www.weblio.jp/content/ディアスポラ
3世紀,中東・アフリカ,ササン朝ペルシアの成立,https://www.weblio.jp/content/サーサーン朝
4世紀,中東・アフリカ,フン族の大移動,https://www.weblio.jp/content/フン族
5世紀,中東・アフリカ,ネストリウス派キリスト教の普及,https://www.weblio.jp/content/ネストリウス派
6世紀,中東・アフリカ,ムハンマドの誕生,https://www.weblio.jp/content/ムハンマド
7世紀,中東・アフリカ,イスラム教の誕生,https://www.weblio.jp/content/イスラム教
8世紀,中東・アフリカ,アッバース朝時代,https://www.weblio.jp/content/アッバース朝
9世紀,中東・アフリカ,ハールーン＝アッラシードの治世,https://www.weblio.jp/content/ハールーン＝アッラシード
10世紀,中東・アフリカ,ファーティマ朝時代,https://www.weblio.jp/content/ファーティマ朝
11世紀,中東・アフリカ,セルジューク朝時代,https://www.weblio.jp/content/セルジューク朝
12世紀,中東・アフリカ,十字軍,https://www.weblio.jp/content/十字軍
13世紀,中東・アフリカ,オスマン帝国の成立,https://www.weblio.jp/content/オスマン帝国
14世紀,中東・アフリカ,オスマン帝国の時代,https://www.weblio.jp/content/オスマン帝国
15世紀,中東・アフリカ,ティムール朝の台頭,https://www.weblio.jp/content/ティムール朝
16世紀,中東・アフリカ,スレイマン1世の治世,https://www.weblio.jp/content/スレイマン1世
17世紀,中東・アフリカ,アシャンティ王国の誕生,https://www.weblio.jp/content/アシャンティ王国
18世紀,中東・アフリカ,ナポレオンのエジプト遠征,https://www.weblio.jp/content/エジプト遠征
1800年~,中東・アフリカ,ムハンマド・アリーによるエジプト独立,https://www.weblio.jp/content/ムハンマド・アリー
1850年~,中東・アフリカ,ベルリン会議,https://www.weblio.jp/content/ベルリン会議
1900年~,中東・アフリカ,ファショダ事件,https://www.weblio.jp/content/ファショダ事件
1925年~,中東・アフリカ,ボーア戦争,https://www.weblio.jp/content/ボーア戦争
1950年~,中東・アフリカ,第一次中東戦争,https://www.weblio.jp/content/第一次中東戦争
1975年~,中東・アフリカ,湾岸戦争,https://www.weblio.jp/content/湾岸戦争
2000年~,中東・アフリカ,イラク戦争,https://www.weblio.jp/content/イラク戦争

1世紀,中国,新朝の時代,https://www.weblio.jp/content/新朝
2世紀,中国,黄巾の乱,https://www.weblio.jp/content/黄巾の乱
